Rôle;Nom;Session;Pays;Ville;"Event Date	";Prédev;Dev;Prod;WIP ;Genre;Format;Submission opening;Deadline;Lien;Films;Restrictions
Fonds;Arab Fund for Film and Culture;Cinema;MENA;;;x;x;x;x;Fiction;Tous;15/04/2025;13/06/2025;https://www.arabculturefund.org/Programs/12;;MENA Filmmakers, shorts (prod and post prod, 20 000 & 10 000) and Features (dev, prod, post-prod bet 10 000 and 50 000)
Fonds;IDFA Pro;Bertha Fund Europe;Pays-Bas;Amsterdam;14/11/2025;;x;;;Doc;Feature-length;;10/06/2025;https://professionals.idfa.nl/training-funding/funding/ibf-classic/;Doculgbt;Submit by a  global south filmmaker , up to 7500€
Fonds;IDFA Pro;Bertha Fund Europe;Pays-Bas;Amsterdam;14/11/2025;;x;x;x;Doc;Feature-length;;10/06/2025;https://professionals.idfa.nl/training-funding/funding/ibf-classic/;Doculgbt;Global south documentary over 60 min, Global south Producer has to be the main producer, up to 25000€
Fonds;itvs;Diversity Featured;USA;;;;;;x;Doc;Tous;;02/06/2025;https://itvs.org/funding/;;BIPOC director, International fund, USA co-producer, up to 400,000$
Fonds;Cinéma de la francophonie OIF;;Afrique;;01/06/2025;;x;;;Tous;Tous;;01/06/2025;https://www.imagesfrancophones.org/soutiens/fonds-image-de-la-francophonie/presentation;Ghana?;Fonds projets avec un producteur des pays d'afrique francophone POSTULER LE 1er JOUR https://www.imagesfrancophones.org/soutiens/Fonds-image-de-la-francophonie/modalites
Fonds;Cinéma de la francophonie OIF;Bonus ACP;Afrique;;01/06/2025;;x;x;x;Tous;Tous;;01/06/2025;https://www.imagesfrancophones.org/clap-acp/presentation;;Fonds projets avec un producteur des pays d'afrique francophone POSTULER LE 1er JOUR  Bénin, Burkina Faso, Burundi, Cap-Vert, Cameroun, Congo Brazzaville, Congo RDC, Côte d’Ivoire, Djibouti, Gabon, Guinée, Iles Comores et Ile Maurice, Madagascar, Mali, Mauritanie, Niger, République Centrafricaine, Rwanda, Sénégal, Les Seychelles, Tchad, Togo ainsi que d’Haïti AVEC un Coproducteur d'un autre pays d'afrique non mentionné
Fonds;ida;Pare Laurentz Film Fund;USA;New York;;;;x;;Doc;Feature-length;01/05/2025;01/06/2025;https://www.documentary.org/funding;Akshat, Praveen;25 000€ Grant for documentary on Social and gender justice. Developpment fulfilled but need for money for one part of the production
Festival;RIGA IFF;;Latvia;Riga;24/10/2025;;;;;Tous;Feature;;31/05/2025;https://filmfreeway.com/AFRIFF;;International Feature
Program;The Craft Institute;Writers retrat;USA;;20/09/2025;x;;;;Fiction;Ciné & TV;;20/05/2025;https://www.thecraftinstitute.org/writers-retreat;Nuusiku;   International blacks screenwriters in english, 120 pages for Feature,  65 pages for 1 Hour Pilot , 35 pages for Half Hour Pilot 
Fonds;SSFILM ;Rainin Grant;USA;San Francisco;01/10/2025;x;x;;x;Fiction;Feature-length;04/03/2025;16/05/2025;https://sffilm.org/rainin-grant/;Nuusiku;International filmmakers, 25 000$, film less than 3M$,  gender and social justice
Fonds;SSFILM ;Rainin Grant;USA;San Francisco;01/10/2025;x;x;;;Fiction;Feature-length;04/03/2025;16/05/2025;https://sffilm.org/sloan-science-in-cinema-filmmaker-fellowship/;Nuusiku;International filmmakers ???, 25 000$, film less than 3M$,  gender and social justice
Festival;Busan IFF;Asian Project Market;Korea;Busan;20/09/2025;;x;x;;Tous;Feature-length;;15/05/2025;https://apm.biff.kr/eng/artyboard/mboard.asp?Action=view&strBoardID=9638_02&intSeq=96330;;International, Asian Market preferences
Fonds;Goethe Institute;International Coproduction Fund;Deutschland;;;;;;;Tous;Tous;;15/05/2025;https://www.goethe.de/en/kul/foe/int.html;;Worldide project with Performing art (not only a movie) Music, Choregraphy, 
Festival;HongKong Lesbian & Gay FF;;HongKong;HongKong;06/09/2025;;;;;Tous;CM;;02/05/2025;https://filmfreeway.com/HongKongLGFF;;Worlwide projects less than 30min, LGBT
Program;Ouaga Film Lab;Atelier Grand Bassam;;;01/12/2025;x;x;;;;;;01/05/2025;https://ouagafilmlab.net/;Nuusiku;African lab for writing developping projects
Festival;the gotham;Spotlight on Documentaries;USA;;01/05/2025;;;;x;;Feature-length;;01/05/2025;https://thegotham.org/gotham-week/project-market/slate-2024/;;Filmés aux USA
Program;Aflamuna;Connection;Liban;Beirut;;x;x;x;x;Tous;Feature-Length;;30/04/2025;https://aflamuna.org/calls/aflamuna-connection-edition-9/;;Réalisateur dumonde arabe, communautés sous représentées.
Program;Dhakla ;Doclab;Bangladesh;Dakha;03/08/2025;x;x;x;x;Doc;Tous;;30/04/2025;https://www.dhakadoclab.org/application-guidelines/;;Asian documentary filmmakers, lab to improve quality of a documentary. Some little prizes, mentorship, special women mentorhip program, the impact lab is only for bangladeshi filmmakers
Festival;beyondborders;;Greece;Kaztellorizo;25/08/2025;;;;;Doc;Tous;;30/04/2025;https://beyondborders.gr/news/call-for-film-submissions-to-the-10th-beyond-borders/;;Documentaries about borders (1sts movies for shorts)
Fonds;From the heart;Roy W.Dean Short Film Grant;USA;;;x;x;x;x;Fiction;CM;01/03/2025;29/04/2025;https://form.jotform.com/From_the_Heart/roy-w-dean-short-film-grant;Nuusiku, Doculgbt;International LGBTQI+ and Queer projects with budget less than 50 000$, $3 000 grant + advantages, under 40min movies
Fonds;docsbythesea;;Indonesia;Bali;;;;x;x;Doc;Tous;03/03/2025;24/04/2025;https://form.jotform.com/241302786807459;Bathe, akshat;climate crisis, inclusivity, social justice, gender issues, human rights, international filmmakers from some south east countries linked with ocean, with images is better. India, Chiana, Afghanistan, Japan,
Program;pustnik;Residence;Romania;;09/09/2025;x;;;;Fiction;Feature-length;;19/04/2025;https://www.pustnik.com/apply;;1st Movie for director or 1 movie for screenwriter with 1 cowritten movie max, with 1 short movie selected in the best festivals
Festival;YAMAGATA;Comptetition;Japon;Yamagata;09/10/2025;;;;;Doc;;;15/04/2025;https://www.yidff.jp/2025/entry/25entry-e.html;;International
Festival;Get it Made ;Script competition;UK;;;x;;;;Fiction;CM;;12/04/2025;https://filmfreeway.com/AFRIFF;;Contest for international screenwriters to find a producer
Fonds;Catapult Film Fund;Rough Cut;USA;Minnesota;23/07/2024;;;;x;Doc;;;11/04/2025;https://catapultfilmfund.org/rough-cut-retreat/;;Rough-cut residence for international docs
Fonds;Ford Foundation;JustFilms;USA;;01/09/2025;;x;x;x;Doc;Feature-length;;10/04/2025;https://www.fordfoundation.org/work/our-grants/justfilms/justfilms-application/;Nadine;Fonds pour les artistes de communautés défavorisées dans le monde, Ayant un projet de documentaire de +50mins sur les thématiques de d'engagement, liberté d'expression, droits des handis, remise en question des formes de travail, Genre, Races, Gouvernances mondiales (total, OIF, mineraux, guerres), Ressources naturelles, technologies résiliantes,   Se focus sur les territoires où il y a déjà des Bureaux de la ford foundation
Program;La Ruche ;Résidence;France ;Gindou;;x;;;;Fiction;CM;;07/04/2025;https://www.gindoucinema.org/index.php/residences-d-ecriture/residence-la-ruche/1005-ruche-gindou-2025.html;La sacoche, 20 A+Tard, Symbiopse ;Premier CM de fiction
Festival;Ecrans Noirs;;Cameroun;Yaoundé;20/09/2025;;;;;Tous;Tous;;05/04/2025;https://www.ecransnoirs.org/;;African Director
Fonds;Arab Fund for Film and Culture;Cinema;MENA;;;x;x;x;x;Doc;Tous;01/02/2025;04/04/2025;https://www.arabculturefund.org/Programs/7;;MENA Filmmakers, shorts (prod and post prod, 20 000 & 10 000) and Features (dev, prod, post-prod bet 10 000 and 50 000)
Fonds;Creative Capital;;USA;NY;;;x;x;;Tous;Tous;;03/04/2025;https://creative-capital.org/about-the-creative-capital-award/;;Director + 25 Year old, US citizen, permanent legal resident, O-1 visa holder, or Tribal ID holder
Fonds;Jerome Foundation;Dev;USA;Minnesota;20/10/2025;x;x;;;Tous;Tous;;03/04/2025;https://www.jeromefdn.org/minnesota-filmmaker-mentorship;;Minnesota Director, Mentorship and fund up to 10000$
Festival;BLACKSTAR;Pitch;USA;Philadelphia;31/07/2025;;x;x;x;Doc;CM;;02/04/2025;https://www.blackstarfest.org/festival/pitch/;;Short Nonfiction, Prize 75000$, Pitch competitionn US resident
